Gender,Year,Bachelor,Master,Ph.D
Male,1970,2064,1424,125
Male,1971,2941,1752,155
Male,1972,3664,1888,181
Male,1973,3976,1983,189
Male,1974,4080,1961,199
Male,1975,4534,2226,221
Male,1976,4876,2332,197
Male,1977,5349,2471,181
Male,1978,6272,2480,206
Male,1979,7782,2883,213
Male,1980,10202,3247,227
Male,1981,13218,3625,230
Male,1982,15641,3813,228
Male,1983,20416,4379,225
Male,1984,24737,5064,223
Male,1985,27208,5658,299
Male,1986,25962,5985,322
Male,1987,23414,6726,380
Male,1988,21143,6775,466
Male,1989,19159,6960,534
Male,1990,17771,6563,584
Male,1991,17685,6980,669
Male,1992,17606,7557,689
Male,1993,17528,7836,685
Male,1994,17684,7805,726
Male,1995,17757,7729,743
Male,1996,18527,7526,721
Male,1997,20372,8343,718
Male,1998,22289,8866,656
Male,1999,27185,9978,648
Male,2000,31923,11195,632
Male,2001,36462,11447,581
Male,2002,41950,13267,648
Male,2003,44585,13868,709
Male,2004,42125,13136,905
Male,2005,37705,12470,1109 
Male,2006,34342,11985,1267 
Male,2007,31694,12513,1323 
Male,2008,31215,13063,1226 
Male,2009,32410,13017,1250 
Male,2010,35478,13956,1267 
Male,2011,38773,15129,1332 
Female,1970,324,164,3
Female,1971,461,225,12
Female,1972,640,225,15
Female,1973,780,293,9
Female,1974,953,338,14
Female,1975,1118,377,23
Female,1976,1531,466,19
Female,1977,1852,567,15
Female,1978,2447,575,30
Female,1979,3372,764,27
Female,1980,4919,971,25
Female,1981,7049,1310,21
Female,1982,8924,1508,34
Female,1983,12023,1811,26
Female,1984,14384,2037,25
Female,1985,15129,2412,45
Female,1986,13805,2496,52
Female,1987,11237,2471,48
Female,1988,9417,2639,85
Female,1989,8188,2717,93
Female,1990,7388,2761,92
Female,1991,7136,2675,103
Female,1992,6913,2796,116
Female,1993,6999,2732,125
Female,1994,7053,2790,161
Female,1995,6749,2850,126
Female,1996,6895,2987,136
Female,1997,7457,3422,140
Female,1998,8263,3977,150
Female,1999,10603,5012,131
Female,2000,12219,5716,136
Female,2001,13903,5726,171
Female,2002,15483,6242,168
Female,2003,14903,6275,200
Female,2004,11986,5280,214
Female,2005,9775,4585,307
Female,2006,7828,4247,328
Female,2007,6782,4574,375
Female,2008,6779,4844,354
Female,2009,7179,4936,349
Female,2010,7594,5490,321
Female,2011,8611,5788,366
